CattleNECSatifactionIndex,MSTBaldiol,MSTCaangol,MSTCattleNEC,MSTSangre,MSTSeeno,MSTSheepNEC,MSTTempsPasse,MSTTransCattleNEC,MSTTransSheepNEC,MSTTrees,SatisfactionMeanTreesInBaldiol,SatisfactionMeanTreesInCaangol,SatisfactionMeanTreesInSangre,SatisfactionMeanTreesInSeeno,SheepNECSatifactionIndex,avgUBTpercamp,cattlesTempCamp,cattlesWeightGain,decreasingFactor,goodShepherdPercentage,maxTransCattlesLiveWeight,maxTransSheepsLiveWeight,meanCattlesGrassEaten,meanCattlesLiveWeight,meanCattlesNEC,meanFruitsConsumedCattle,meanFruitsConsumedSheep,meanGrass,meanLeavesConsumedCattle,meanLeavesConsumedSheep,meanSheepsGrassEaten,meanSheepsLiveWeight,meanSheepsNEC,meanTransCattlesLiveWeight,meanTransCattlesNEC,meanTransSheepsLiveWeight,meanTransSheepsNEC,minTimePresence,minTransCattlesLiveWeight,minTransSheepsLiveWeight,numberofCamps,openmole$experiment,proportionBigHerders,proportionMediumHerders,reforestationPlots,sheepsTempCamp,sheepsWeightGain,sumLargeHerder,sumMediumHerder,sumSmallHerder,thresholdTreeSatisfaction,totalCattles,totalFoyers,totalGPBaldiol,totalGPCaangol,totalGPSangre,totalGPSeeno,totalGrass,totalLocalFoyers,totalSheeps,totalTransCattles,totalTransFoyers,totalTransSheeps,totalTrees,totalTreesOldes,totalTreesYoung,trajSatisfactionBaldiol,trajSatisfactionCaangol,trajSatisfactionSangre,trajSatisfactionSeeno,transCattlesWeightGain,transSheepsWeightGain,treesKilled
3.0,1.0,0.0,0.9559123287671233,0.0,1.0,0.9991945205479452,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.24706276842026154,10.0,60.0,0.0,0.0,6.3455254366397815,348.65529347525967,4.100346864878463,2.1940792196312693E-17,1.5181212969722753E-18,49939.23886372637,2.406603070834821E-17,2.7169132286823297E-18,0.9241587434270466,67.15762719428017,4.756482675660283,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3021,30.0,10.0,4.0,0.0,0.020620569704881266,42.0,16.0,92.0,0.5,1965.0,150.0,205.0,0.0,0.0,85.0,2.6417857358911265E7,150.0,2718.0,0.0,0.0,0.0,8941079.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,22516.0
3.0,1.0,0.0,0.8607652338214454,0.0,1.0,0.7349173358526216,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.21306445208088326,10.0,60.0,0.0,0.0,6.34533224634296,349.7555068032904,4.133546283372026,0.0,0.0,56718.05184445531,0.0,0.0,0.9238485028077659,59.330705635037376,4.804499190779771,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3041,30.0,20.0,10.0,0.0,0.018667496885260742,11.0,4.0,14.0,0.5,507.0,29.0,205.0,0.0,0.0,84.0,3.000384942571685E7,29.0,581.0,0.0,0.0,0.0,8664277.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4072.0
3.0,1.0,0.0,0.8566934341048654,0.0,1.0,0.744515824279641,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.24869141641118775,10.0,90.0,0.0,0.0,6.349648255497914,348.34966051308595,4.105479264311379,0.0,0.0,52347.13296272635,0.0,0.0,0.9255846284877421,51.24749305010234,4.093176672411077,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3105,40.0,30.0,2.0,0.0,0.024097473235605803,12.0,6.0,11.0,0.5,482.0,29.0,203.0,0.0,0.0,84.0,2.7691633337282244E7,29.0,737.0,0.0,0.0,0.0,8661754.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4312.0
3.0,1.0,0.0,0.9367474338917083,0.0,1.0,0.9626519632159346,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.23808267729707897,10.0,90.0,0.0,0.0,6.343154323562449,349.5870062723751,4.129431513374945,3.681722835161576E-17,1.0489906684218508E-17,36197.87331655168,9.923625909903346E-17,1.1133007238336493E-17,0.9221626452749513,62.96113232414461,4.697622205715218,0.0,0.0,0.0,0.0,30.0,0.0,0.0,100.0,3274,30.0,30.0,6.0,0.0,0.015464180136602954,101.0,108.0,150.0,0.5,4841.0,359.0,265.0,0.0,33.0,98.0,1.9148674984455828E7,359.0,7243.0,0.0,0.0,0.0,1.4852341E7,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,139187.0
3.0,1.0,0.0,0.9498740166144028,0.0,1.0,0.9806249656158883,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.2350824996684315,10.0,90.0,0.0,0.0,6.2668015225574605,347.5468605404277,4.054996382718839,1.2090638831020725E-8,2.684753804132845E-8,39284.71099600102,0.23064336201627436,0.21177986976897828,0.9014147765588604,61.62308957996069,4.794675652612973,0.0,0.0,0.0,0.0,30.0,0.0,0.0,70.0,3088,30.0,20.0,6.0,0.0,0.017900158161935104,73.0,49.0,127.0,0.5,3399.0,249.0,236.0,0.0,5.0,90.0,2.078161211688452E7,249.0,5006.0,0.0,0.0,0.0,1.1257114E7,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,63629.0
3.0,1.0,0.0,0.9540346342724219,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.23971591505830261,10.0,90.0,0.0,0.0,6.340636909855346,349.68997675847504,4.129772143299498,1.8102290498157437E-18,0.0,50810.08822206415,3.0639849999207786E-17,0.0,0.9224721485479294,66.27559050949874,4.967038314009642,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3186,40.0,20.0,6.0,0.0,0.016235856808340214,49.0,19.0,38.0,0.5,1942.0,106.0,208.0,0.0,0.0,88.0,2.6878536669471923E7,106.0,2862.0,0.0,0.0,0.0,8753066.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,18425.0
3.0,1.0,0.0,0.9619233152061678,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.24309593517558067,10.0,90.0,0.0,0.0,6.347269434532353,346.201493764282,4.0409443253082005,6.952812409403759E-19,9.102093220842284E-19,39369.801943684084,5.457278400056984E-17,1.2365948291903314E-16,0.9227668325999627,70.80623299894233,4.979386453314132,0.0,0.0,0.0,0.0,30.0,0.0,0.0,70.0,3226,40.0,0.0,4.0,0.0,0.01842491892217943,87.0,0.0,112.0,0.5,3419.0,199.0,215.0,0.0,4.0,87.0,2.0826625228208877E7,199.0,4881.0,0.0,0.0,0.0,8862528.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,37025.0
3.0,1.0,0.0,0.9543756368164836,0.0,1.0,0.9940824182044605,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.23714582857679758,10.0,90.0,0.0,0.0,6.352652353290734,349.96590282243056,4.135132791846868,1.5862861392761082E-17,1.4537815505143784E-17,42555.98545166279,4.141162964755152E-17,6.80837953599078E-20,0.9247207157615105,65.91766599311406,4.900023538240975,0.0,0.0,0.0,0.0,30.0,0.0,0.0,70.0,3267,30.0,30.0,2.0,0.0,0.017301513797190013,70.0,70.0,102.0,0.5,3394.0,242.0,222.0,0.0,4.0,92.0,2.2512116303929612E7,242.0,5037.0,0.0,0.0,0.0,8734440.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,45270.0
3.0,1.0,0.0,0.8628247520075578,0.0,1.0,0.6921209258384506,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.23666786275158264,10.0,90.0,0.0,0.0,6.3398972572144325,350.0,4.136008230452674,0.0,3.1161016709915384E-18,54885.314624025734,0.0,5.681854953506426E-17,0.9224166323980596,49.75121478925681,4.3600214679940805,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3287,30.0,30.0,2.0,0.0,0.020903090288123205,11.0,11.0,7.0,0.5,480.0,29.0,204.0,0.0,0.0,84.0,2.9034331436109632E7,29.0,750.0,0.0,0.0,0.0,8669136.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4427.0
3.0,1.0,0.0,0.9072366556447804,0.0,1.0,0.9778743504959848,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.27114914834919335,10.0,90.0,0.0,0.0,6.338383627909385,349.99999999999994,4.136008230452674,1.1682580310707485E-16,0.0,54690.96988663833,1.1734509968574382E-18,0.0,0.9215655956283132,58.88317764154083,4.786727258782105,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3189,40.0,20.0,8.0,0.0,0.022390503123757354,13.0,4.0,12.0,0.5,478.0,29.0,205.0,0.0,0.0,86.0,2.8931523070031676E7,29.0,762.0,0.0,0.0,0.0,8677578.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4572.0
