CattleNECSatifactionIndex,MSTBaldiol,MSTCaangol,MSTCattleNEC,MSTSangre,MSTSeeno,MSTSheepNEC,MSTTrees,SatisfactionMeanTreesInBaldiol,SatisfactionMeanTreesInCaangol,SatisfactionMeanTreesInSangre,SatisfactionMeanTreesInSeeno,SheepNECSatifactionIndex,TreeDensitySatisfactionOldes,cattlesWeightGain,goodShepherdPercentage,interfaceNumberOfCampI,meanCattlesLiveWeight,meanCattlesNEC,meanFruitsConsumedCattle,meanFruitsConsumedSheep,meanGrass,meanLeavesConsumedCattle,meanLeavesConsumedSheep,meanSheepsLiveWeight,meanSheepsNEC,openmole$experiment,proportionBigHerders,proportionMediumHerders,sheepsWeightGain,sumLargeHerder,sumMediumHerder,sumSmallHerder,totalCattles,totalFoyers,totalGrass,totalSheeps,totalTrees,totalTreesOldes,totalTreesYoung
3.0,1.0,0.9005479452054794,0.4480676724954233,0.9005479452054794,1.0,0.4324007322770027,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.2785692656263875,100.0,30.0,220.77132128195058,3.3492638399727137,1125.7431952749257,417.44973370601195,113465.37507878107,3161.627015574764,790.5732091992973,39.86968712560977,3.243814569392064,8618,50.0,30.0,-0.062016947349732406,102.0,70.0,45.0,4247.0,217.0,6.002318341667518E7,6620.0,8.2585205E7,117658.39130434782,38457.30812854442
3.0,1.0,0.9005479452054794,0.37997390737116765,0.9005479452054794,1.0,0.3404075984897903,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.32803328247095104,100.0,100.0,218.6783843454668,3.282300014854375,5419.523455760207,1299.9260001636198,85407.50026917827,10730.115194542484,2440.587471381397,39.842995919097696,3.239685210761528,8617,50.0,20.0,-0.07224242424242436,346.0,140.0,207.0,14362.0,693.0,4.518056764239524E7,21503.0,6.495645E7,92278.78260869565,30512.2381852552
3.0,1.0,0.9005479452054794,0.44215773688903304,0.9005479452054794,1.0,0.47377968712004537,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.23652390448961658,80.0,50.0,213.35061558175357,3.161468364510968,1224.417106775814,356.7730751263315,109720.92992513746,3563.1608374943717,1001.2806208795232,39.45456544453947,3.192325508885956,8244,30.0,40.0,-0.045243746604233845,108.0,142.0,88.0,5525.0,338.0,5.804237193039774E7,8581.0,6.9320467E7,100116.05482041588,30924.525519848772
3.0,1.0,0.9005479452054794,0.4482621382832131,0.9005479452054794,1.0,0.4857639620653319,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.17955290390114087,80.0,50.0,205.30120821480526,2.9223113259517954,1474.3641073326664,499.81786967788236,108364.94770601686,3785.287440984906,1038.0260331831057,39.90314004489448,3.249425112472845,8252,30.0,50.0,-0.046880270745684086,114.0,166.0,58.0,5792.0,338.0,5.732505733648285E7,8943.0,6.9709822E7,101063.99054820416,30712.610586011342
3.0,1.0,0.9005479452054794,0.46020301566965605,0.9005479452054794,1.0,0.47220656351631024,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.14970062247321406,80.0,40.0,203.15584530516793,2.9254720389365954,1343.654274860364,336.93057064365286,112814.38588637653,3369.0315739147027,932.7500744408027,39.84548189287136,3.2364844544965705,8251,30.0,50.0,-0.043331880291019094,93.0,137.0,48.0,4603.0,278.0,5.967881013389322E7,7584.0,7.0206454E7,101705.01701323251,31010.39697542533
3.0,1.0,0.9005479452054794,0.47760747427561395,0.9005479452054794,1.0,0.4621248658544284,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.17092896374365593,80.0,30.0,203.3596634786704,2.8927463729185705,818.2934483457026,248.29865536587596,115017.11261729835,2077.0293230316756,552.5530015759692,39.89133745159898,3.249098659894955,8250,30.0,50.0,-0.044395639322415095,73.0,99.0,45.0,3527.0,217.0,6.0844052574550845E7,5610.0,7.4540021E7,107446.797731569,33460.61436672968
3.0,1.0,0.7005479452054795,0.41930340587874837,0.9005479452054794,1.0,0.4663227183775129,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.2068164610844942,80.0,100.0,214.85626998941385,3.191701513645769,2509.975048075237,715.569269246951,94194.08833469478,7753.017246727909,1942.6379718069627,39.845679784647814,3.2407722218943,8249,30.0,40.0,-0.04215502501628765,202.0,284.0,207.0,11157.0,693.0,4.9828672729053564E7,17013.0,6.0838841E7,88130.83175803402,26876.42911153119
3.0,1.0,0.8005479452054794,0.4204428846371561,0.9005479452054794,1.0,0.4624109589041096,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.2116461422813918,80.0,90.0,209.81598715192817,3.105995645947874,1976.3950940639156,625.3966552229074,96898.06401030965,6122.435995873805,1720.1303277510963,39.88193111787799,3.246329531430286,8248,30.0,40.0,-0.055371183830659976,189.0,240.0,176.0,9922.0,605.0,5.125907586145381E7,15098.0,6.2224214E7,90105.26086956522,27520.852551984877
3.0,1.0,0.8005479452054794,0.42371950908998324,0.9005479452054794,1.0,0.4837729795793655,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.16437592011942032,80.0,80.0,214.24084552784745,3.1820411352072004,1934.1422188916306,535.9567545647305,101702.77474644381,5509.534953720325,1460.2436683388041,39.79295217351009,3.223633281028035,8247,30.0,40.0,-0.038901725371066107,155.0,236.0,147.0,8543.0,538.0,5.380076784086878E7,13494.0,6.4235353E7,93146.48393194706,28281.404536862003
3.0,1.0,0.8005479452054794,0.42996264009962637,0.9005479452054794,1.0,0.47703901068666915,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.2238183528041937,80.0,70.0,209.4898281008441,3.112685745608011,2120.0320147945895,445.6273961307038,103402.48439585062,4823.049827170119,1191.6004086625537,39.881511484971156,3.2474521330577466,8246,30.0,40.0,-0.0529848635347022,148.0,185.0,140.0,7994.0,473.0,5.469991424540502E7,11693.0,6.6617657E7,96251.9640831758,29679.334593572778
