CattleNECSatifactionIndex,MSTBaldiol,MSTCaangol,MSTCattleNEC,MSTSangre,MSTSeeno,MSTSheepNEC,MSTTempsPasse,MSTTransCattleNEC,MSTTransSheepNEC,MSTTrees,SatisfactionMeanTreesInBaldiol,SatisfactionMeanTreesInCaangol,SatisfactionMeanTreesInSangre,SatisfactionMeanTreesInSeeno,SheepNECSatifactionIndex,avgUBTpercamp,cattlesTempCamp,cattlesWeightGain,decreasingFactor,goodShepherdPercentage,maxTransCattlesLiveWeight,maxTransSheepsLiveWeight,meanCattlesGrassEaten,meanCattlesLiveWeight,meanCattlesNEC,meanFruitsConsumedCattle,meanFruitsConsumedSheep,meanGrass,meanLeavesConsumedCattle,meanLeavesConsumedSheep,meanSheepsGrassEaten,meanSheepsLiveWeight,meanSheepsNEC,meanTransCattlesLiveWeight,meanTransCattlesNEC,meanTransSheepsLiveWeight,meanTransSheepsNEC,minTimePresence,minTransCattlesLiveWeight,minTransSheepsLiveWeight,numberofCamps,openmole$experiment,proportionBigHerders,proportionMediumHerders,reforestationPlots,sheepsTempCamp,sheepsWeightGain,sumLargeHerder,sumMediumHerder,sumSmallHerder,thresholdTreeSatisfaction,totalCattles,totalFoyers,totalGPBaldiol,totalGPCaangol,totalGPSangre,totalGPSeeno,totalGrass,totalLocalFoyers,totalSheeps,totalTransCattles,totalTransFoyers,totalTransSheeps,totalTrees,totalTreesOldes,totalTreesYoung,trajSatisfactionBaldiol,trajSatisfactionCaangol,trajSatisfactionSangre,trajSatisfactionSeeno,transCattlesWeightGain,transSheepsWeightGain,treesKilled
3.0,1.0,0.0,0.9625988258317026,0.0,1.0,0.9985779517286367,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.24481954330219072,10.0,90.0,0.0,0.0,6.346057095583392,348.2622160965312,4.109362887110554,8.670681935106955E-19,1.0998109828367515E-27,42927.24428594763,1.5637973656439163E-17,4.4408182906834314E-17,0.9240433285142253,68.7260165973165,4.953466166908231,0.0,0.0,0.0,0.0,30.0,0.0,0.0,70.0,3155,40.0,20.0,4.0,0.0,0.018056541286986444,81.0,53.0,76.0,0.5,3384.0,210.0,221.0,0.0,3.0,93.0,2.2708512227266297E7,210.0,5099.0,0.0,0.0,0.0,9123808.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,40267.0
3.0,1.0,0.0,0.9572670666817615,0.0,1.0,0.9997328201064191,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.2442744556776735,10.0,90.0,0.0,0.0,6.357191247766436,346.5090877940162,4.056099259659537,1.1172878259309135E-16,3.3781174374534957E-18,50823.41432576345,5.76493679534413E-17,3.410011435373112E-20,0.9280702597592368,59.657131883592264,4.815054808952895,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3109,40.0,30.0,4.0,0.0,0.0224888016214691,46.0,31.0,44.0,0.5,1942.0,121.0,207.0,0.0,0.0,86.0,2.6885586178328898E7,121.0,2862.0,0.0,0.0,0.0,8881350.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,18656.0
3.0,1.0,0.0,0.8657448630136987,0.0,1.0,0.7180821917808219,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.2293657640592147,10.0,90.0,0.0,0.0,6.335156701742762,350.00000000000006,4.136008230452675,0.0,0.0,57566.58378947837,0.0,0.0,0.9217574856156723,56.17613453343297,4.656261934714569,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3300,40.0,0.0,0.0,0.0,0.01554070632391153,13.0,0.0,19.0,0.5,481.0,32.0,205.0,0.0,0.0,84.0,3.0452722824634064E7,32.0,743.0,0.0,0.0,0.0,8669793.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4349.0
3.0,1.0,0.0,0.9628886241810601,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.2217886395582438,10.0,90.0,0.0,0.0,6.341050197506188,349.8246700536447,4.13270368024983,2.4667313315689068E-17,3.335997044054802E-17,45010.094970770944,0.0,4.82416966597933E-17,0.9218887109369833,72.78195546791669,4.999618638224618,0.0,0.0,0.0,0.0,30.0,0.0,0.0,70.0,3213,40.0,10.0,2.0,0.0,0.01636186682913489,83.0,24.0,123.0,0.5,3394.0,230.0,223.0,0.0,2.0,84.0,2.381034023953783E7,230.0,5037.0,0.0,0.0,0.0,8907644.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,35280.0
3.0,1.0,0.0,0.8714907332796132,0.0,1.0,0.7612006446414182,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.19787740074589494,10.0,90.0,0.0,0.0,6.342201634016775,350.0,4.136008230452675,4.954454359292076E-17,0.0,53054.09596134895,5.002977111140471E-19,0.0,0.9233977529975558,48.97386176372034,4.661624654949394,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3119,40.0,30.0,4.0,0.0,0.013184722828851157,11.0,7.0,16.0,0.5,487.0,34.0,204.0,0.0,0.0,84.0,2.8065616763553575E7,34.0,706.0,0.0,0.0,0.0,8665905.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4323.0
3.0,1.0,0.0,0.8816010273972603,0.0,1.0,0.7100085616438356,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.2111016057011243,10.0,90.0,0.0,0.0,6.333185576760922,349.99999999999994,4.136008230452675,0.0,5.88418203051333E-17,52526.36152106698,0.0,0.0,0.9195089220589653,54.24539965198553,4.841902039847905,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3240,40.0,10.0,2.0,0.0,0.015815224424963074,14.0,0.0,18.0,0.5,480.0,32.0,203.0,0.0,0.0,84.0,2.7786445244644392E7,32.0,750.0,0.0,0.0,0.0,8664086.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4441.0
3.0,1.0,0.0,0.9467325050440693,0.0,1.0,0.9972093023255814,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.24154110371568527,10.0,90.0,0.0,0.0,6.339253854438569,349.3013891524154,4.106102764665962,0.0,3.1647033476601967E-18,48126.91282131796,0.0,3.252860626968047E-20,0.923259502835701,62.144153422733744,4.966429632550255,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3102,40.0,30.0,10.0,0.0,0.018098437792196574,43.0,49.0,37.0,0.5,1921.0,129.0,209.0,0.0,0.0,87.0,2.5459136882477213E7,129.0,2993.0,0.0,0.0,0.0,8799157.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,19522.0
3.0,1.0,0.0,0.9627268835616438,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.23949585516822333,10.0,90.0,0.0,0.0,6.344963553299342,349.6105694932272,4.124417726169128,0.0,3.3098523929970935E-17,49410.55747590871,5.551115123125783E-17,2.7754254397653564E-17,0.9228524588363308,68.33199113504759,5.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3113,40.0,30.0,0.0,0.0,0.020772619108811237,43.0,49.0,36.0,0.5,1904.0,128.0,210.0,0.0,0.0,88.0,2.6138184904755697E7,128.0,3100.0,0.0,0.0,0.0,8744326.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,19569.0
3.0,1.0,0.0,0.9502269162396737,0.0,1.0,0.9964446303461257,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.2547819586554833,10.0,90.0,0.0,0.0,6.347710828686651,345.1347083525728,4.023281600723436,5.0281976445444E-17,3.118634035261317E-18,46694.31916228521,5.114227107313566E-19,3.4217138883569077E-18,0.9257299908434606,59.65024315040517,4.55147013258869,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3283,40.0,0.0,4.0,0.0,0.020638477301139796,45.0,0.0,86.0,0.5,1978.0,131.0,208.0,0.0,0.0,87.0,2.4701294836848855E7,131.0,2637.0,0.0,0.0,0.0,9058600.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,18171.0
3.0,1.0,0.0,0.9532865753424657,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.2324573319967532,10.0,90.0,0.0,0.0,6.343802754813971,348.3223204402081,4.103077545901532,1.4050587362803857E-16,3.26659656879554E-18,50231.63022903437,6.479107892223461E-17,5.687690172307922E-17,0.9241980029860004,65.89450214419736,4.938424240746638,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3106,40.0,30.0,6.0,0.0,0.01885557468947241,42.0,37.0,46.0,0.5,1959.0,125.0,208.0,0.0,0.0,88.0,2.65725323911592E7,125.0,2756.0,0.0,0.0,0.0,8826541.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,18136.0
3.0,1.0,0.0,0.9467179893580889,0.0,1.0,0.9998958451262312,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.22645190145365998,10.0,90.0,0.0,0.0,6.336883687494173,349.62150363329306,4.129243632397811,3.1160022879201973E-17,8.44582476961721E-18,47766.969430142686,2.7173192020793443E-17,8.517741891882029E-20,0.9222576040804444,68.81045057102955,4.9754264807661635,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3103,40.0,30.0,10.0,0.0,0.018596298148686533,42.0,41.0,38.0,0.5,1902.0,121.0,209.0,0.0,0.0,88.0,2.5268726828545474E7,121.0,3112.0,0.0,0.0,0.0,8746148.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,19474.0
3.0,1.0,0.0,0.8036138290932812,0.0,1.0,0.7943248532289628,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.29085631716468585,10.0,90.0,0.0,0.0,6.3474479011576745,349.58245947194547,4.129909782022244,0.0,0.0,51117.65504135215,0.0,0.0,0.9244204845696968,61.636826846051356,4.7794117898845245,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3294,40.0,0.0,6.0,0.0,0.02918153602861355,14.0,0.0,7.0,0.5,496.0,21.0,204.0,0.0,0.0,84.0,2.7041239516875297E7,21.0,649.0,0.0,0.0,0.0,8665255.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4210.0
3.0,1.0,0.0,0.9549112957556704,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.23528444063562723,10.0,90.0,0.0,0.0,6.340194237421067,348.0627024125993,4.086352326870901,8.471961377548114E-18,5.952481518217948E-28,42121.512525130194,2.3978078590134525E-16,2.4265649698465272E-18,0.9223931829178232,71.05555370229993,4.981423642383114,0.0,0.0,0.0,0.0,30.0,0.0,0.0,70.0,3100,40.0,30.0,4.0,0.0,0.017865626773570956,82.0,45.0,56.0,0.5,3407.0,183.0,214.0,0.0,0.0,86.0,2.2282280125793844E7,183.0,4956.0,0.0,0.0,0.0,8629184.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,34293.0
3.0,1.0,0.0,0.8785296803652968,0.0,1.0,0.7320730593607305,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.23652565363560873,10.0,90.0,0.0,0.0,6.348923181446065,347.8736615337065,4.08122357084372,0.0,0.0,55219.17623790704,0.0,0.0,0.9255561028697862,49.749618481788275,4.42712556683846,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3242,40.0,10.0,0.0,0.0,0.023268910697483405,12.0,4.0,14.0,0.5,483.0,30.0,204.0,0.0,0.0,86.0,2.921094422985284E7,30.0,731.0,0.0,0.0,0.0,8666443.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4512.0
3.0,1.0,0.0,0.8371819960861057,0.0,1.0,0.7570332681017612,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.23390471755510805,10.0,90.0,0.0,0.0,6.337700020530542,350.00000000000006,4.136008230452674,1.1411746968268275E-16,0.0,55458.57827790593,0.0,0.0,0.9241364664464222,53.024113596513565,4.359615651695219,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3287,40.0,0.0,10.0,0.0,0.016709741881088112,12.0,0.0,23.0,0.5,488.0,35.0,203.0,0.0,0.0,85.0,2.9337587909012243E7,35.0,700.0,0.0,0.0,0.0,8664963.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4221.0
3.0,1.0,0.0,0.9518284693269804,0.0,1.0,0.9933293627159023,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.23756327892212506,10.0,90.0,0.0,0.0,6.3433809467240145,349.7622180241254,4.130205220716357,5.81483712383021E-17,9.259541904444127E-20,46214.33524089218,1.4839551863828875E-17,1.840138469992782E-18,0.9241036964551744,54.48503551543915,4.423880896512473,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3223,40.0,10.0,4.0,0.0,0.019167989188876154,46.0,12.0,57.0,0.5,1970.0,115.0,209.0,0.0,0.0,87.0,2.4447383342431933E7,115.0,2687.0,0.0,0.0,0.0,8767960.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,17560.0
